Computer_Path,File_Download
images\3d-layered-editable-vector-text-effect_53876-110943.jpg,https://www.freepik.com/free-vector/3d-layered-editable-vector-text-effect_16252978.htm#query=lettering&position=0&from_view=search&track=sph
images\black-positive-phrases-lettering-set_52683-86797.jpg,https://www.freepik.com/free-vector/black-positive-phrases-lettering-set_29013485.htm#query=lettering&position=1&from_view=search&track=sph
images\motivational-lettering-set_23-2148753950.jpg,https://www.freepik.com/free-vector/motivational-lettering-set_11189218.htm#query=lettering&position=2&from_view=search&track=sph
images\hand-drawn-motivational-phrases-spanish-lettering-design_52683-90657.jpg,https://www.freepik.com/free-vector/hand-drawn-motivational-phrases-spanish-lettering-design_30120793.htm#query=lettering&position=3&from_view=search&track=sph
images\set-motivational-quotes_179234-278.jpg,https://www.freepik.com/free-vector/set-motivational-quotes_9080960.htm#query=lettering&position=4&from_view=search&track=sph
images\lettering-background-with-inspirational-message_23-2147781462.jpg,https://www.freepik.com/free-vector/lettering-background-with-inspirational-message_1958224.htm#query=lettering&position=5&from_view=search&track=sph
images\collection-lettering-travel-badges_52683-19205.jpg,https://www.freepik.com/free-vector/collection-lettering-travel-badges_5169221.htm#query=lettering&position=6&from_view=search&track=sph
images\flat-design-motivational-poster-illustration_52683-88764.jpg,https://www.freepik.com/free-vector/flat-design-motivational-poster-illustration_29515460.htm#query=lettering&position=7&from_view=search&track=sph
images\lettering-background-with-inspirational-message_23-2147781463.jpg,https://www.freepik.com/free-vector/lettering-background-with-inspirational-message_1958223.htm#query=lettering&position=8&from_view=search&track=sph
images\flat-design-motivational-poster-template_52683-87403.jpg,https://www.freepik.com/free-vector/flat-design-motivational-poster-template_29814815.htm#query=lettering&position=9&from_view=search&track=sph
images\retro-vintage-text-effect-editable-70s-80s-text-style_314614-830.jpg,https://www.freepik.com/free-vector/retro-vintage-text-effect-editable-70s-80s-text-style_18784713.htm#query=lettering&position=10&from_view=search&track=sph
